Testing filter: 0 without noise
Time,Roll Error,Pitch Error,Yaw Error
6.080,31.853,33.994,189.874
6.090,32.149,33.858,189.826
6.100,32.445,33.720,189.777
6.110,32.739,33.582,189.728
6.120,33.031,33.442,189.678
6.130,33.323,33.300,189.628
6.140,33.613,33.157,189.577
6.150,33.902,33.014,189.526
6.160,34.189,32.868,189.475
6.170,34.476,32.722,189.423
6.180,34.761,32.574,189.370
6.190,35.045,32.424,189.317
6.200,35.327,32.274,189.263
6.210,35.608,32.122,189.209
6.220,35.900,31.964,189.151
6.230,36.177,31.809,189.096
6.240,36.454,31.654,189.040
6.250,36.730,31.497,188.984
6.260,37.004,31.339,188.928
6.270,37.276,31.180,188.871
6.280,37.547,31.019,188.814
6.290,37.817,30.857,188.756
6.300,38.085,30.694,188.698
6.310,38.352,30.530,188.640
6.320,38.618,30.365,188.581
6.330,38.882,30.198,188.522
6.340,39.145,30.030,188.463
6.350,39.406,29.861,188.403
6.360,39.666,29.691,188.343
6.370,39.924,29.519,188.282
6.380,40.182,29.346,188.221
6.390,40.437,29.172,188.160
6.400,40.691,28.997,188.099
6.410,40.944,28.821,188.037
6.420,41.195,28.644,187.975
6.430,41.444,28.465,187.912
6.440,41.692,28.286,187.849
6.450,41.939,28.105,187.786
6.460,42.184,27.923,187.723
6.470,42.427,27.740,187.659
6.480,42.669,27.556,187.595
6.490,42.910,27.370,187.531
6.500,43.149,27.184,187.467
6.510,43.386,26.997,187.402
6.520,43.622,26.808,187.337
6.530,43.856,26.618,187.272
6.540,44.089,26.427,187.206
6.550,44.320,26.236,187.141
6.560,44.549,26.043,187.075
6.570,44.777,25.849,187.009
6.580,45.003,25.654,186.942
6.590,45.228,25.458,186.876
6.600,45.451,25.261,186.809
6.610,45.672,25.063,186.743
6.620,45.902,24.856,186.670
6.630,46.120,24.656,186.603
6.640,46.336,24.456,186.535
6.650,46.550,24.254,186.468
6.660,46.763,24.051,186.401
6.670,46.974,23.848,186.333
6.680,47.184,23.643,186.265
6.690,47.391,23.437,186.197
6.700,47.597,23.231,186.129
6.710,47.802,23.023,186.062
6.720,48.005,22.815,185.993
6.730,48.206,22.605,185.925
6.740,48.405,22.395,185.857
6.750,48.602,22.184,185.789
6.760,48.798,21.972,185.721
6.770,49.001,21.751,185.647
6.780,49.203,21.529,185.573
6.790,49.402,21.306,185.499
6.800,49.590,21.091,185.430
6.810,49.777,20.875,185.362
6.820,49.961,20.658,185.293
6.830,50.153,20.432,185.219
6.840,50.342,20.206,185.145
6.850,50.521,19.987,185.077
6.860,50.698,19.767,185.009
6.870,50.882,19.538,184.935
6.880,51.064,19.309,184.861
6.890,51.235,19.087,184.793
6.900,51.405,18.864,184.725
6.910,51.581,18.632,184.651
6.920,51.747,18.409,184.583
6.930,51.910,18.184,184.516
6.940,52.073,17.959,184.448
6.950,52.233,17.733,184.381
6.960,52.392,17.506,184.314
6.970,52.548,17.278,184.247
6.980,52.711,17.041,184.175
6.990,52.871,16.803,184.103
7.000,53.030,16.564,184.031
7.010,53.178,16.335,183.965
7.020,53.325,16.104,183.899
7.030,53.470,15.873,183.833
7.040,53.621,15.632,183.762
7.050,53.761,15.399,183.697
7.060,53.908,15.157,183.627
7.070,54.052,14.914,183.557
7.080,54.194,14.671,183.487
7.090,54.334,14.428,183.418
7.100,54.471,14.184,183.349
7.110,54.600,13.949,183.285
7.120,54.726,13.713,183.222
7.130,54.851,13.477,183.159
7.140,54.974,13.240,183.097
7.150,55.102,12.993,183.030
7.160,55.227,12.745,182.963
7.170,55.343,12.507,182.902
7.180,55.464,12.259,182.836
7.190,55.583,12.010,182.770
7.200,55.700,11.761,182.705
7.210,55.814,11.512,182.640
7.220,55.926,11.262,182.576
7.230,56.036,11.012,182.512
7.240,56.144,10.762,182.448
7.250,56.244,10.521,182.390
7.260,56.347,10.270,182.328
7.270,56.443,10.028,182.271
7.280,56.542,9.776,182.210
7.290,56.633,9.534,182.153
7.300,56.723,9.290,182.098
7.310,56.815,9.037,182.038
7.320,56.906,8.784,181.979
7.330,56.989,8.540,181.925
7.340,57.075,8.286,181.867
7.350,57.158,8.031,181.810
7.360,57.240,7.777,181.753
7.370,57.319,7.522,181.696
7.380,57.396,7.267,181.641
7.390,57.470,7.012,181.586
7.400,57.538,6.767,181.536
7.410,57.603,6.521,181.486
7.420,57.667,6.275,181.437
7.430,57.728,6.028,181.389
7.440,57.792,5.771,181.337
7.450,57.848,5.524,181.290
7.460,57.907,5.267,181.240
7.470,57.960,5.020,181.194
7.480,58.014,4.762,181.145
7.490,58.062,4.514,181.100
7.500,58.108,4.266,181.056
7.510,58.152,4.018,181.013
7.520,58.193,3.769,180.971
7.530,58.236,3.510,180.925
7.540,58.273,3.261,180.884
7.550,58.308,3.012,180.844
7.560,58.341,2.763,180.804
7.570,58.371,2.513,180.765
7.580,58.399,2.263,180.726
7.590,58.425,2.014,180.688
7.600,58.452,1.753,180.648
7.610,58.476,1.493,180.609
7.620,58.498,1.233,180.571
7.630,58.514,0.983,180.536
7.640,58.529,0.733,180.502
7.650,58.543,0.473,180.466
7.660,58.553,0.222,180.433
7.670,58.563,-0.038,180.398
7.680,58.570,-0.298,180.365
7.690,58.575,-0.558,180.332
7.700,58.575,-0.807,180.303
7.710,58.573,-1.057,180.274
7.720,58.571,-1.317,180.244
7.730,58.566,-1.576,180.214
7.740,58.559,-1.836,180.186
7.750,58.549,-2.095,180.158
7.760,58.536,-2.354,180.131
7.770,58.522,-2.612,180.105
7.780,58.503,-2.860,180.082
7.790,58.482,-3.108,180.060
7.800,58.459,-3.356,180.038
7.810,58.434,-3.604,180.018
7.820,58.407,-3.862,179.996
7.830,58.377,-4.120,179.975
7.840,58.345,-4.368,179.957
7.850,58.310,-4.625,179.938
7.860,58.273,-4.882,179.921
7.870,58.234,-5.139,179.904
7.880,58.192,-5.396,179.888
7.890,58.147,-5.652,179.872
7.900,58.100,-5.907,179.858
7.910,58.051,-6.163,179.845
7.920,57.999,-6.417,179.833
7.930,57.945,-6.672,179.821
7.940,57.888,-6.926,179.811
7.950,57.828,-7.179,179.801
7.960,57.767,-7.422,179.793
7.970,57.703,-7.675,179.785
7.980,57.636,-7.927,179.779
7.990,57.567,-8.179,179.773
8.000,57.495,-8.431,179.768
